CLASS		# OF HANDS		CLASS NAME
AJ96A		30		Ace high 4 flush
AJ96K		30		Ace high 4 flush
AJ96Q		30		Ace high 4 flush
AJ96J		30		Ace high 4 flush
AJ96T		30		Ace high 4 flush
AJ969		30		Ace high 4 flush
AJ968		30		Ace high 4 flush
AJ967		30		Ace high 4 flush
AJ966		30		Ace high 4 flush
AJ87A		30		Ace high 4 flush
AJ87K		30		Ace high 4 flush
AJ87Q		30		Ace high 4 flush
AJ87J		30		Ace high 4 flush
AJ87T		30		Ace high 4 flush
AJ879		30		Ace high 4 flush
AJ878		30		Ace high 4 flush
AJ877		30		Ace high 4 flush
AJ876		30		Ace high 4 flush
AJ86A		30		Ace high 4 flush
AJ86K		30		Ace high 4 flush
AJ86Q		30		Ace high 4 flush
AJ86J		30		Ace high 4 flush
AJ86T		30		Ace high 4 flush
AJ869		30		Ace high 4 flush
AJ868		30		Ace high 4 flush
AJ867		30		Ace high 4 flush
AJ866		30		Ace high 4 flush
AJ76A		30		Ace high 4 flush
AJ76K		30		Ace high 4 flush
AJ76Q		30		Ace high 4 flush
AJ76J		30		Ace high 4 flush
AJ76T		30		Ace high 4 flush
AJ769		30		Ace high 4 flush
AJ768		30		Ace high 4 flush
AJ767		30		Ace high 4 flush
AJ766		30		Ace high 4 flush
AT98A		30		Ace high 4 flush
AT98K		30		Ace high 4 flush
AT98Q		30		Ace high 4 flush
AT98J		30		Ace high 4 flush
AT98T		30		Ace high 4 flush
AT989		30		Ace high 4 flush
AT988		30		Ace high 4 flush
AT987		30		Ace high 4 flush
AT986		30		Ace high 4 flush
AT97A		30		Ace high 4 flush
AT97K		30		Ace high 4 flush
AT97Q		30		Ace high 4 flush
AT97J		30		Ace high 4 flush
AT97T		30		Ace high 4 flush
AT979		30		Ace high 4 flush
AT978		30		Ace high 4 flush
AT977		30		Ace high 4 flush
AT976		30		Ace high 4 flush
AT96A		30		Ace high 4 flush
AT96K		30		Ace high 4 flush
AT96Q		30		Ace high 4 flush
AT96J		30		Ace high 4 flush
AT96T		30		Ace high 4 flush
AT969		30		Ace high 4 flush
AT968		30		Ace high 4 flush
AT967		30		Ace high 4 flush
AT966		30		Ace high 4 flush
AT87A		30		Ace high 4 flush
AT87K		30		Ace high 4 flush
AT87Q		30		Ace high 4 flush
AT87J		30		Ace high 4 flush
AT87T		30		Ace high 4 flush
AT879		30		Ace high 4 flush
AT878		30		Ace high 4 flush
AT877		30		Ace high 4 flush
AT876		30		Ace high 4 flush
AT86A		30		Ace high 4 flush
AT86K		30		Ace high 4 flush
AT86Q		30		Ace high 4 flush
AT86J		30		Ace high 4 flush
AT86T		30		Ace high 4 flush
AT869		30		Ace high 4 flush
AT868		30		Ace high 4 flush
AT867		30		Ace high 4 flush
AT866		30		Ace high 4 flush
AT76A		30		Ace high 4 flush
AT76K		30		Ace high 4 flush
AT76Q		30		Ace high 4 flush
AT76J		30		Ace high 4 flush
AT76T		30		Ace high 4 flush
AT769		30		Ace high 4 flush
AT768		30		Ace high 4 flush
AT767		30		Ace high 4 flush
AT766		30		Ace high 4 flush
A987A		30		Ace high 4 flush
A987K		30		Ace high 4 flush
A987Q		30		Ace high 4 flush
A987J		30		Ace high 4 flush
A987T		30		Ace high 4 flush
A9879		30		Ace high 4 flush
A9878		30		Ace high 4 flush
A9877		30		Ace high 4 flush
A9876		30		Ace high 4 flush
A986A		30		Ace high 4 flush
A986K		30		Ace high 4 flush
A986Q		30		Ace high 4 flush
A986J		30		Ace high 4 flush
A986T		30		Ace high 4 flush
A9869		30		Ace high 4 flush
A9868		30		Ace high 4 flush
A9867		30		Ace high 4 flush
A9866		30		Ace high 4 flush
A976A		30		Ace high 4 flush
A976K		30		Ace high 4 flush
A976Q		30		Ace high 4 flush
A976J		30		Ace high 4 flush
A976T		30		Ace high 4 flush
A9769		30		Ace high 4 flush
A9768		30		Ace high 4 flush
A9767		30		Ace high 4 flush
A9766		30		Ace high 4 flush
A876A		30		Ace high 4 flush
A876K		30		Ace high 4 flush
A876Q		30		Ace high 4 flush
A876J		30		Ace high 4 flush
A876T		30		Ace high 4 flush
A8769		30		Ace high 4 flush
A8768		30		Ace high 4 flush
A8767		30		Ace high 4 flush
A8766		30		Ace high 4 flush
KQJTA		30		King high 4 flush
KQJTK		30		King high 4 flush
KQJTQ		30		King high 4 flush
KQJTJ		30		King high 4 flush
KQJTT		30		King high 4 flush
KQJT9		30		King high 4 flush
KQJT8		30		King high 4 flush
KQJT7		30		King high 4 flush
KQJT6		30		King high 4 flush
KQJ9A		30		King high 4 flush
KQJ9K		30		King high 4 flush
KQJ9Q		30		King high 4 flush
KQJ9J		30		King high 4 flush
KQJ9T		30		King high 4 flush
KQJ99		30		King high 4 flush
KQJ98		30		King high 4 flush
KQJ97		30		King high 4 flush
KQJ96		30		King high 4 flush
KQJ8A		30		King high 4 flush
KQJ8K		30		King high 4 flush
KQJ8Q		30		King high 4 flush
KQJ8J		30		King high 4 flush
KQJ8T		30		King high 4 flush
KQJ89		30		King high 4 flush
KQJ88		30		King high 4 flush
KQJ87		30		King high 4 flush
KQJ86		30		King high 4 flush
KQJ7A		30		King high 4 flush
KQJ7K		30		King high 4 flush
KQJ7Q		30		King high 4 flush
KQJ7J		30		King high 4 flush
KQJ7T		30		King high 4 flush
KQJ79		30		King high 4 flush
KQJ78		30		King high 4 flush
KQJ77		30		King high 4 flush
KQJ76		30		King high 4 flush
KQJ6A		30		King high 4 flush
KQJ6K		30		King high 4 flush
KQJ6Q		30		King high 4 flush
KQJ6J		30		King high 4 flush
